aX,aY,aZ,gX,gY,gZ
-0.184,-0.131,1.395,-17.395,-2.197,0.366
-0.186,-0.142,1.428,-20.081,-3.906,-1.038
-0.185,-0.148,1.466,-22.888,-6.104,-2.502
-0.187,-0.155,1.505,-25.452,-8.911,-3.784
-0.188,-0.167,1.545,-28.442,-12.512,-5.798
-0.191,-0.173,1.57,-31.433,-16.663,-8.301
-0.194,-0.173,1.59,-34.729,-21.545,-10.925
-0.191,-0.166,1.61,-37.781,-27.039,-13.489
-0.189,-0.15,1.629,-41.077,-32.776,-16.296
-0.187,-0.133,1.652,-44.25,-39.124,-18.86
-0.184,-0.108,1.677,-46.875,-45.959,-21.423
-0.177,-0.079,1.7,-49.622,-53.467,-23.682
-0.169,-0.05,1.718,-51.819,-61.401,-25.818
-0.167,-0.021,1.732,-53.223,-69.641,-27.771
-0.164,0.009,1.751,-54.199,-78.125,-29.541
-0.157,0.036,1.755,-54.749,-86.792,-30.884
-0.153,0.06,1.745,-54.688,-95.398,-32.288
-0.15,0.084,1.725,-54.504,-103.943,-33.63
-0.148,0.107,1.69,-54.016,-112.061,-34.79
-0.155,0.128,1.647,-53.589,-119.873,-35.95
-0.162,0.148,1.604,-53.223,-126.587,-36.987
-0.169,0.168,1.562,-52.795,-132.568,-37.842
-0.175,0.19,1.523,-52.368,-138.062,-38.757
-0.181,0.206,1.487,-51.88,-142.7,-39.856
-0.189,0.22,1.455,-51.27,-146.606,-40.71
-0.194,0.237,1.422,-51.147,-150.024,-41.809
-0.201,0.252,1.391,-50.903,-153.015,-43.091
-0.208,0.27,1.356,-50.598,-155.396,-44.25
-0.218,0.291,1.313,-50.903,-157.654,-45.349
-0.229,0.315,1.28,-51.27,-159.363,-46.265
-0.234,0.338,1.265,-52.002,-160.461,-46.936
-0.236,0.36,1.25,-53.284,-161.316,-47.546
-0.237,0.379,1.237,-54.504,-162.415,-47.974
-0.235,0.395,1.226,-56.213,-163.513,-48.218
-0.237,0.412,1.214,-57.983,-164.612,-48.34
-0.241,0.436,1.198,-60.242,-166.016,-48.523
-0.251,0.458,1.168,-63.293,-167.542,-48.218
-0.261,0.469,1.135,-66.711,-168.762,-47.852
-0.263,0.475,1.104,-70.679,-169.739,-47.18
-0.264,0.483,1.067,-75.623,-170.532,-45.959
-0.269,0.49,1.022,-81.177,-171.265,-44.739
-0.272,0.496,0.98,-86.792,-171.936,-43.213
-0.273,0.499,0.939,-92.651,-172.424,-41.748
-0.28,0.506,0.891,-98.694,-172.424,-40.161
-0.287,0.509,0.841,-104.553,-172.119,-38.513
-0.292,0.514,0.798,-110.291,-171.57,-36.682
-0.301,0.527,0.759,-115.723,-170.593,-34.79
-0.313,0.541,0.714,-120.911,-169.495,-32.837
-0.327,0.548,0.664,-125.793,-168.274,-30.579
-0.334,0.551,0.628,-130.676,-166.809,-28.076
-0.348,0.551,0.586,-135.193,-165.161,-25.513
