aX,aY,aZ,gX,gY,gZ
-0.205,0.065,1.519,-14.832,-21.79,7.812
-0.253,0.067,1.575,-15.076,-23.743,8.789
-0.307,0.069,1.621,-15.686,-26.184,9.766
-0.343,0.068,1.664,-16.479,-29.419,10.559
-0.367,0.074,1.677,-17.761,-32.715,11.23
-0.384,0.08,1.65,-19.165,-35.95,11.963
-0.396,0.096,1.586,-20.752,-38.269,12.756
-0.396,0.121,1.512,-22.522,-39.246,13.733
-0.392,0.153,1.441,-24.231,-38.818,15.259
-0.385,0.187,1.382,-25.574,-36.56,17.334
-0.375,0.22,1.342,-26.672,-32.349,19.775
-0.364,0.248,1.288,-27.222,-26.672,22.278
-0.356,0.266,1.239,-27.161,-19.836,24.841
-0.349,0.279,1.216,-26.306,-12.085,27.466
-0.339,0.289,1.212,-24.536,-4.578,29.846
-0.327,0.294,1.226,-21.729,2.686,32.104
-0.31,0.298,1.243,-18.066,9.644,34.363
-0.288,0.305,1.257,-13.306,15.808,36.377
-0.257,0.311,1.263,-8.118,21.484,38.33
-0.223,0.31,1.255,-2.502,26.672,40.283
-0.186,0.307,1.231,3.174,31.616,42.175
-0.15,0.301,1.201,8.423,36.133,43.945
-0.119,0.281,1.194,13.855,40.833,45.593
-0.094,0.252,1.206,18.616,45.166,47.058
-0.075,0.211,1.229,22.522,48.645,47.913
-0.056,0.166,1.254,25.391,51.453,48.462
-0.034,0.119,1.268,27.039,53.223,48.523
-0.013,0.073,1.259,27.222,54.565,47.668
0.012,0.038,1.228,26.489,55.115,46.326
0.044,0.018,1.173,24.231,55.542,44.495
0.083,0.001,1.115,20.813,55.786,42.358
0.118,-0.017,1.068,16.418,56.458,40.161
0.147,-0.04,1.056,10.803,57.434,37.598
0.155,-0.077,1.082,4.272,57.495,34.302
0.155,-0.116,1.105,-2.808,56.824,30.762
0.164,-0.14,1.087,-10.498,55.786,26.367
0.189,-0.14,1.032,-18.616,54.504,21.423
0.22,-0.136,0.979,-26.733,53.589,16.235
0.253,-0.122,0.945,-34.241,52.49,10.925
0.275,-0.107,0.916,-40.955,51.392,5.676
0.274,-0.097,0.879,-46.875,49.561,0.488
0.248,-0.093,0.852,-52.002,47.668,-3.784
0.235,-0.085,0.833,-55.725,46.265,-8.85
0.24,-0.067,0.805,-58.35,45.105,-14.465
0.252,-0.035,0.77,-59.448,44.006,-19.897
0.292,0.012,0.698,-59.021,42.847,-24.536
0.328,0.056,0.584,-57.068,41.931,-28.687
0.333,0.088,0.493,-53.589,41.931,-31.616
0.31,0.104,0.418,-48.828,43.03,-34.302
0.287,0.114,0.346,-43.152,45.288,-36.438
0.269,0.124,0.291,-36.499,48.706,-38.574
0.252,0.15,0.26,-29.785,52.856,-40.649
0.269,0.188,0.239,-22.827,57.312,-42.175
0.297,0.226,0.225,-15.808,61.707,-42.664
0.308,0.249,0.221,-8.606,65.857,-42.114
0.316,0.238,0.238,-1.282,69.58,-40.649
0.313,0.193,0.256,6.287,72.998,-38.818
0.3,0.133,0.294,14.343,76.111,-37.292
0.283,0.074,0.342,22.705,78.491,-36.56
0.272,0.038,0.384,31.311,80.444,-36.56
0.285,0.017,0.438,39.551,81.421,-36.743
0.295,0.006,0.488,46.631,81.421,-36.865
0.303,0.004,0.531,53.406,79.956,-36.499
0.31,0.004,0.598,58.533,77.637,-35.522
0.3,-0.006,0.706,62.012,74.097,-34.302
0.281,-0.026,0.831,63.904,69.214,-32.898
0.263,-0.043,0.936,64.087,63.11,-31.738
0.26,-0.055,1.005,62.683,56.396,-30.762
0.27,-0.053,1.007,59.753,49.5,-30.273
0.286,-0.042,0.966,55.786,43.213,-29.419
0.298,-0.026,0.939,50.72,37.354,-28.381
0.301,-0.016,0.967,44.922,31.555,-26.733
0.302,-0.01,1.023,38.452,25.696,-24.78
0.296,-0.019,1.083,31.433,19.409,-22.583
0.281,-0.036,1.137,24.17,13.184,-20.508
0.279,-0.05,1.156,16.785,6.836,-18.799
0.288,-0.051,1.107,9.949,1.526,-17.578
0.308,-0.022,1.021,4.578,-2.502,-16.602
0.33,0.013,0.937,0.061,-4.761,-15.381
0.337,0.043,0.894,-3.174,-5.554,-13.611
0.336,0.068,0.906,-5.676,-5.249,-11.23
0.326,0.074,0.964,-7.08,-4.761,-8.545
0.307,0.063,1.019,-7.629,-4.7,-5.92
0.291,0.038,1.048,-7.935,-5.005,-3.845
0.285,0.012,1.04,-7.568,-5.981,-2.991
0.296,0.001,0.999,-6.226,-6.897,-2.563
0.314,0.011,0.936,-3.784,-7.568,-2.258
0.33,0.024,0.886,-0.732,-7.507,-1.709
0.339,0.037,0.875,2.625,-6.897,-0.977
0.341,0.047,0.889,5.737,-5.981,0.122
0.338,0.055,0.919,8.728,-5.188,1.343
0.336,0.049,0.951,11.169,-4.822,2.869
0.339,0.031,0.965,13.062,-4.761,4.028
0.345,0.012,0.96,14.587,-5.066,4.883
0.358,0,0.949,15.747,-5.798,5.371
0.365,-0.006,0.94,16.907,-6.409,5.676
0.367,-0.011,0.941,17.578,-7.141,5.92
0.364,-0.021,0.954,17.822,-7.996,6.287
0.354,-0.029,0.978,17.517,-9.46,6.531
0.34,-0.038,1.003,16.602,-10.864,6.897
0.325,-0.047,1.011,15.076,-12.512,6.958
0.316,-0.058,1,13,-14.099,7.141
0.311,-0.07,0.972,10.498,-15.32,7.019
0.314,-0.076,0.93,7.996,-16.235,6.531
0.322,-0.078,0.888,5.31,-16.785,6.042
0.326,-0.073,0.857,2.991,-16.846,5.371
0.331,-0.061,0.853,0.671,-16.724,4.944
0.334,-0.041,0.878,-1.343,-16.479,4.822
0.328,-0.017,0.897,-3.357,-16.663,5.127
0.312,0.009,0.899,-5.005,-16.846,5.737
0.297,0.019,0.899,-6.287,-17.151,6.531
0.284,0.019,0.883,-6.714,-17.7,7.324
0.277,0.016,0.844,-6.775,-18.433,8.118
0.277,0.01,0.806,-6.165,-18.555,8.545
0.28,0.008,0.782,-4.944,-18.677,8.911
0.286,0.008,0.772,-3.174,-18.616,9.094
0.293,0.013,0.763,-1.526,-18.433,9.399
0.295,0.017,0.774,0.427,-18.25,9.949
0.295,0.026,0.812,2.258,-18.188,10.559
0.293,0.033,0.841,3.601,-18.372,11.353
0.291,0.038,0.833,4.761,-18.616,11.963
0.285,0.04,0.822,5.676,-18.616,12.573
0.278,0.04,0.818,6.592,-18.799,13.245
0.273,0.044,0.801,7.751,-19.47,13.794
0.271,0.049,0.798,8.667,-20.447,14.221
0.275,0.047,0.829,9.766,-21.667,14.771
0.276,0.047,0.865,10.62,-22.766,15.442
0.278,0.054,0.937,11.597,-24.109,15.869
0.28,0.058,1.004,11.963,-25.879,16.296
0.278,0.056,1.006,11.536,-27.771,16.235
0.272,0.053,0.968,10.559,-29.48,16.052
0.267,0.05,0.905,10.132,-30.579,15.808
0.262,0.05,0.824,10.01,-30.884,15.259
0.257,0.043,0.762,10.986,-30.64,14.709
0.257,0.027,0.729,12.939,-29.785,14.221
0.249,-0.01,0.759,15.93,-28.564,13.611
0.239,-0.044,0.819,19.287,-27.344,12.39
0.235,-0.064,0.853,22.888,-26.855,10.742
0.227,-0.076,0.846,26.245,-26.794,8.789
