aX,aY,aZ,gX,gY,gZ
-0.233,-0.183,1.2,-17.029,-24.475,-49.622
-0.239,-0.179,1.21,-19.348,-26.672,-52.612
-0.242,-0.173,1.229,-21.423,-28.748,-55.969
-0.24,-0.163,1.25,-23.621,-31.128,-59.387
-0.241,-0.152,1.267,-25.757,-33.569,-62.866
-0.244,-0.139,1.28,-28.076,-36.072,-66.589
-0.249,-0.125,1.294,-30.09,-38.757,-70.435
-0.251,-0.112,1.308,-32.349,-41.504,-73.975
-0.252,-0.101,1.325,-34.912,-44.128,-77.515
-0.249,-0.09,1.341,-37.354,-46.936,-81.177
-0.244,-0.074,1.357,-39.856,-49.744,-84.961
-0.234,-0.056,1.373,-42.419,-52.917,-88.623
-0.224,-0.035,1.387,-45.227,-56.03,-92.102
-0.217,-0.015,1.388,-47.913,-59.387,-95.52
-0.21,0.008,1.388,-50.537,-62.622,-98.999
-0.203,0.033,1.38,-53.162,-66.162,-102.417
-0.195,0.056,1.377,-55.664,-69.641,-105.835
-0.181,0.082,1.388,-58.105,-73.12,-109.375
-0.167,0.105,1.392,-60.669,-76.66,-112.488
-0.15,0.13,1.384,-63.599,-80.444,-115.662
-0.137,0.153,1.368,-66.528,-84.29,-118.53
-0.128,0.171,1.345,-69.336,-88.074,-121.216
-0.12,0.192,1.332,-72.327,-91.553,-123.84
-0.114,0.214,1.322,-75.684,-94.91,-126.282
-0.107,0.234,1.314,-78.918,-98.022,-128.296
-0.095,0.255,1.305,-82.336,-101.318,-130.005
-0.081,0.274,1.29,-85.449,-104.492,-131.836
-0.068,0.3,1.281,-88.623,-107.666,-133.606
-0.057,0.327,1.265,-91.797,-110.596,-135.193
-0.049,0.354,1.237,-95.093,-113.586,-136.597
-0.042,0.383,1.202,-98.389,-116.516,-137.817
-0.036,0.411,1.17,-101.685,-119.08,-138.794
-0.034,0.43,1.135,-104.919,-121.277,-139.343
-0.029,0.453,1.103,-108.398,-123.352,-139.893
-0.026,0.474,1.073,-111.938,-125,-140.442
-0.023,0.496,1.044,-115.417,-126.526,-140.625
-0.022,0.515,1.001,-118.713,-127.747,-140.564
-0.022,0.535,0.962,-122.07,-128.601,-140.259
-0.023,0.561,0.928,-125.305,-129.333,-139.954
-0.027,0.586,0.882,-128.906,-129.578,-139.465
-0.031,0.612,0.835,-132.446,-129.517,-138.733
-0.034,0.639,0.786,-136.292,-128.906,-137.512
-0.04,0.666,0.744,-140.259,-128.235,-136.108
-0.043,0.69,0.702,-144.287,-126.953,-134.338
-0.043,0.709,0.662,-148.254,-125.671,-132.263
-0.048,0.725,0.617,-152.222,-124.023,-130.188
-0.053,0.743,0.57,-155.945,-121.887,-128.235
-0.063,0.763,0.519,-159.668,-119.69,-126.221
-0.073,0.78,0.474,-163.086,-117.004,-124.023
-0.078,0.797,0.429,-166.809,-113.953,-121.46
-0.079,0.816,0.39,-170.654,-110.657,-119.08
-0.082,0.833,0.35,-173.95,-107.544,-116.516
-0.083,0.849,0.311,-177.124,-104.065,-113.892
-0.087,0.862,0.274,-179.932,-100.769,-111.267
-0.088,0.871,0.239,-182.617,-97.351,-108.276
-0.094,0.885,0.204,-184.998,-93.75,-105.53
-0.1,0.898,0.171,-187.195,-90.332,-102.783
-0.099,0.907,0.129,-189.453,-86.731,-100.037
-0.1,0.914,0.09,-191.406,-83.069,-97.168
-0.096,0.918,0.059,-192.749,-79.346,-94.36
-0.089,0.926,0.039,-194.092,-75.5,-91.553
-0.085,0.925,0.005,-195.19,-71.594,-88.928
-0.079,0.925,-0.018,-196.045,-67.932,-86.121
-0.072,0.929,-0.035,-196.533,-64.148,-83.679
-0.069,0.937,-0.054,-196.655,-60.547,-81.116
-0.061,0.945,-0.071,-196.228,-57.251,-78.796
-0.055,0.95,-0.091,-195.557,-54.321,-76.416
-0.045,0.953,-0.104,-194.458,-51.392,-74.219
-0.031,0.946,-0.135,-192.932,-48.645,-71.899
-0.019,0.937,-0.162,-190.918,-46.204,-69.641
-0.014,0.927,-0.183,-188.721,-43.762,-67.322
-0.007,0.919,-0.206,-186.646,-41.382,-64.758
-0.002,0.908,-0.226,-184.326,-39.063,-62.195
0.004,0.894,-0.247,-181.702,-36.56,-59.998
0.016,0.887,-0.264,-179.077,-34.485,-57.556
0.023,0.869,-0.291,-176.27,-32.288,-55.115
0.031,0.856,-0.296,-173.401,-30.151,-52.551
0.033,0.837,-0.324,-170.349,-28.32,-49.805
0.033,0.817,-0.349,-166.931,-26.245,-47.18
0.037,0.798,-0.364,-163.635,-24.109,-44.617
0.036,0.77,-0.383,-160.217,-21.973,-42.419
0.041,0.747,-0.394,-156.616,-19.653,-40.161
0.044,0.711,-0.415,-152.893,-17.578,-38.025
0.043,0.676,-0.426,-149.17,-15.564,-36.255
0.052,0.648,-0.438,-144.958,-13.672,-34.668
0.054,0.61,-0.453,-140.503,-11.719,-33.386
0.057,0.588,-0.451,-135.681,-10.01,-32.288
0.067,0.563,-0.458,-130.981,-8.301,-31.311
0.075,0.534,-0.464,-125.977,-6.958,-30.396
0.081,0.507,-0.474,-121.399,-5.981,-29.419
0.082,0.475,-0.481,-116.516,-5.371,-28.503
0.078,0.436,-0.486,-112,-5.066,-27.71
0.074,0.397,-0.492,-107.361,-5.005,-26.917
0.073,0.361,-0.495,-102.722,-5.005,-26.184
0.073,0.326,-0.502,-97.595,-5.554,-25.696
0.074,0.297,-0.513,-91.858,-6.348,-25.024
0.08,0.282,-0.524,-85.266,-7.202,-24.414
0.084,0.265,-0.531,-77.942,-8.545,-23.743
0.086,0.251,-0.537,-70.435,-10.01,-22.949
0.086,0.231,-0.553,-62.927,-11.353,-22.095
0.081,0.205,-0.579,-55.603,-12.756,-20.996
0.073,0.177,-0.607,-49.133,-13.733,-19.775
0.063,0.16,-0.624,-42.419,-14.465,-18.738
0.059,0.161,-0.633,-36.072,-14.832,-17.639
0.067,0.168,-0.643,-29.297,-15.015,-16.541
0.075,0.172,-0.659,-21.912,-15.137,-15.32
0.082,0.181,-0.678,-14.343,-15.381,-13.794
0.089,0.182,-0.706,-7.202,-15.32,-12.146
0.091,0.177,-0.734,-0.061,-15.137,-10.254
0.089,0.176,-0.756,6.287,-14.282,-8.545
0.082,0.18,-0.777,12.512,-12.878,-6.897
0.073,0.195,-0.785,17.944,-10.986,-5.31
0.071,0.232,-0.776,23.193,-8.545,-3.967
0.08,0.272,-0.769,28.809,-5.981,-2.869
0.092,0.311,-0.769,34.973,-3.357,-1.282
0.099,0.344,-0.772,41.687,-0.671,0.916
0.105,0.381,-0.775,48.828,1.831,3.235
0.108,0.41,-0.789,55.908,4.761,5.676
0.111,0.431,-0.798,62.5,7.751,8.24
0.111,0.453,-0.8,68.787,11.597,11.108
0.113,0.466,-0.794,74.341,15.625,13.977
0.112,0.484,-0.781,79.529,19.775,16.968
0.12,0.513,-0.757,84.778,24.048,19.653
0.127,0.542,-0.736,90.149,28.015,22.644
0.132,0.578,-0.718,95.581,31.616,25.33
0.126,0.598,-0.72,101.624,34.912,28.442
0.123,0.623,-0.714,107.361,38.574,31.494
0.116,0.65,-0.713,112.61,42.236,34.668
0.108,0.673,-0.697,117.371,46.082,37.903
0.101,0.691,-0.674,121.765,49.927,40.955
0.098,0.694,-0.658,125.854,53.711,44.067
0.097,0.697,-0.634,129.578,57.312,47.241
0.103,0.726,-0.599,133.301,60.791,50.293
0.101,0.748,-0.578,137.207,63.477,53.406
0.099,0.776,-0.552,141.541,65.43,56.58
0.092,0.801,-0.536,145.996,67.566,59.692
0.08,0.813,-0.524,150.024,69.885,62.683
0.068,0.826,-0.502,153.748,72.266,65.552
0.057,0.826,-0.494,156.616,74.707,68.542
0.046,0.828,-0.473,159.119,77.637,71.655
0.04,0.844,-0.441,160.95,80.261,74.585
0.034,0.854,-0.421,162.415,82.581,77.759
0.027,0.871,-0.394,163.818,85.083,80.872
0.016,0.889,-0.368,165.161,87.036,83.862
0.005,0.908,-0.337,166.199,88.928,86.853
-0.006,0.911,-0.325,166.992,91.003,89.6
-0.022,0.902,-0.316,167.48,93.201,92.407
-0.032,0.908,-0.259,167.358,95.581,94.91
-0.04,0.908,-0.223,166.87,98.022,97.595
-0.038,0.908,-0.19,166.016,100.098,100.403
-0.039,0.927,-0.14,165.039,101.685,103.149
-0.053,0.948,-0.112,164.185,102.722,106.14
-0.068,0.957,-0.087,162.903,103.76,109.131
-0.083,0.957,-0.05,161.743,104.98,112.305
-0.102,0.935,-0.028,160.706,106.079,115.417
-0.111,0.904,0.015,159.363,107.056,118.286
-0.121,0.899,0.084,157.837,108.032,120.789
-0.135,0.891,0.111,156.433,108.276,122.62
-0.14,0.872,0.143,155.273,108.276,124.268
-0.141,0.85,0.17,153.992,107.727,125.977
-0.149,0.832,0.179,152.466,107.056,127.991
-0.166,0.838,0.222,150.757,106.506,130.249
-0.194,0.85,0.276,149.109,106.201,132.507
-0.218,0.842,0.313,147.4,106.018,134.705
-0.234,0.822,0.368,145.935,105.957,136.475
-0.25,0.774,0.389,144.409,105.408,137.451
-0.267,0.716,0.412,142.578,104.98,137.695
-0.277,0.67,0.434,140.808,104.492,137.146
-0.291,0.635,0.44,138.55,103.821,136.353
-0.314,0.624,0.477,136.23,103.577,135.62
-0.345,0.62,0.506,133.972,103.027,134.827
-0.374,0.602,0.513,131.47,102.478,134.521
-0.389,0.575,0.537,129.211,102.478,134.094
-0.403,0.535,0.546,126.404,102.783,133.484
-0.415,0.49,0.571,123.413,103.088,132.751
-0.422,0.454,0.626,120.422,103.577,131.775
-0.432,0.421,0.658,117.126,103.699,130.188
-0.442,0.394,0.691,113.892,103.943,128.296
-0.45,0.376,0.74,111.267,103.943,125.732
-0.444,0.351,0.754,108.337,103.516,124.023
-0.434,0.321,0.743,105.347,103.149,122.253
-0.44,0.302,0.766,101.685,102.844,120.667
-0.45,0.283,0.787,97.839,102.722,119.019
-0.456,0.252,0.782,94.177,102.661,117.554
-0.457,0.227,0.806,90.393,102.783,116.089
-0.453,0.201,0.832,86.426,102.966,114.563
-0.455,0.175,0.848,82.581,103.455,113.098
-0.46,0.159,0.901,78.613,103.577,111.511
-0.459,0.14,0.933,74.951,103.149,109.985
-0.452,0.117,0.948,71.411,102.539,108.337
-0.448,0.103,0.98,68.176,102.295,106.689
-0.445,0.091,0.998,64.88,101.685,104.98
-0.437,0.078,1,61.951,100.891,103.21
-0.427,0.065,1.009,59.204,100.22,101.013
-0.42,0.052,1.016,56.702,99.548,98.816
-0.414,0.032,1.02,54.504,98.877,96.497
-0.406,0.013,1.034,52.063,98.45,94.421
-0.398,-0.005,1.043,49.561,98.022,92.529
-0.396,-0.026,1.053,47.241,97.595,90.515
-0.39,-0.046,1.076,45.227,96.985,88.684
-0.383,-0.062,1.094,43.396,96.436,86.853
-0.374,-0.073,1.109,41.748,95.642,84.839
-0.365,-0.083,1.13,40.344,94.543,82.703
-0.352,-0.092,1.139,39.246,93.445,80.627
-0.337,-0.096,1.134,38.391,92.59,78.308
-0.328,-0.097,1.133,37.659,91.736,75.684
