aX,aY,aZ,gX,gY,gZ
0.198,-0.326,1.161,-2.136,8.484,5.371
0.198,-0.332,1.224,-2.93,8.85,5.554
0.196,-0.33,1.302,-4.028,9.033,5.798
0.202,-0.32,1.395,-5.432,8.423,6.226
0.212,-0.305,1.485,-7.263,7.446,6.348
0.221,-0.3,1.569,-9.094,5.737,6.714
0.223,-0.304,1.631,-11.108,3.418,7.08
0.225,-0.307,1.655,-12.756,0.854,7.446
0.229,-0.31,1.667,-14.282,-1.831,7.69
0.23,-0.306,1.674,-15.381,-4.7,8.118
0.226,-0.297,1.692,-16.113,-7.446,8.484
0.217,-0.283,1.716,-16.663,-10.559,8.667
0.208,-0.271,1.745,-17.334,-14.282,9.155
0.203,-0.261,1.761,-18.494,-18.555,10.132
0.204,-0.251,1.751,-19.775,-23.437,10.986
0.211,-0.249,1.729,-21.057,-28.503,12.085
0.217,-0.25,1.687,-22.522,-33.142,13.062
0.216,-0.251,1.626,-23.865,-37.354,13.977
0.207,-0.25,1.569,-24.963,-41.016,14.771
0.196,-0.242,1.529,-26.123,-43.884,15.686
0.187,-0.235,1.504,-27.527,-46.082,16.724
0.181,-0.222,1.48,-29.053,-48.218,17.7
0.181,-0.208,1.448,-31.067,-50.049,18.799
0.184,-0.205,1.394,-33.386,-51.392,19.897
0.185,-0.204,1.315,-35.156,-51.941,20.813
0.185,-0.199,1.237,-36.56,-51.453,21.79
0.177,-0.197,1.163,-37.048,-49.683,22.522
0.16,-0.195,1.09,-36.987,-46.814,23.193
0.146,-0.199,1.043,-36.011,-42.969,23.621
0.125,-0.203,1.013,-34.241,-38.33,23.743
0.115,-0.199,1.001,-31.921,-33.63,23.743
0.123,-0.193,1,-29.724,-29.053,23.499
0.132,-0.189,0.987,-27.527,-24.841,23.315
0.138,-0.184,0.975,-25.208,-20.813,23.254
0.14,-0.18,0.974,-22.766,-16.907,23.01
0.13,-0.177,0.992,-20.081,-13.184,22.766
0.111,-0.172,1.038,-17.029,-10.315,22.644
0.085,-0.168,1.115,-14.526,-8.484,22.278
0.061,-0.159,1.198,-12.39,-8.545,22.217
0.054,-0.148,1.236,-11.047,-10.315,22.034
0.059,-0.139,1.22,-10.437,-13.489,21.912
0.075,-0.128,1.167,-10.559,-16.602,22.156
0.098,-0.115,1.094,-10.986,-18.799,22.522
0.12,-0.109,1.019,-11.536,-20.264,23.132
0.132,-0.108,0.959,-11.78,-20.203,23.804
0.125,-0.116,0.917,-11.658,-19.165,24.231
0.103,-0.125,0.896,-11.597,-17.334,24.536
0.076,-0.128,0.901,-11.353,-15.198,24.353
0.051,-0.128,0.906,-11.536,-13.184,24.048
0.051,-0.122,0.875,-12.512,-11.23,23.499
0.062,-0.122,0.809,-13.672,-9.155,22.888
0.083,-0.109,0.751,-14.587,-6.409,22.339
0.107,-0.096,0.709,-15.198,-2.869,21.973
0.123,-0.09,0.677,-15.442,1.648,21.362
0.112,-0.091,0.668,-14.893,6.775,20.935
0.097,-0.098,0.681,-14.221,12.39,20.203
0.078,-0.108,0.72,-13,17.578,19.287
0.052,-0.115,0.779,-11.841,21.973,18.372
0.037,-0.106,0.834,-10.986,25.024,17.212
0.045,-0.094,0.848,-10.132,27.222,15.93
0.056,-0.087,0.827,-9.583,28.87,14.648
0.077,-0.073,0.814,-8.789,30.396,13.367
0.101,-0.056,0.794,-7.69,32.104,12.268
0.121,-0.047,0.782,-6.47,33.875,11.169
0.125,-0.046,0.798,-5.005,35.522,10.376
0.115,-0.056,0.846,-3.174,36.377,9.46
0.091,-0.067,0.916,-1.587,36.133,8.545
0.06,-0.071,0.987,-0.244,34.302,7.629
0.045,-0.069,1.044,0.916,31.006,6.897
0.049,-0.062,1.054,1.953,26.733,6.409
0.066,-0.051,1.004,2.38,22.095,5.859
0.085,-0.043,0.924,2.991,18.311,5.249
0.099,-0.041,0.842,3.174,15.198,4.883
0.108,-0.034,0.788,3.418,13.611,4.639
0.111,-0.03,0.778,3.601,12.878,4.456
0.092,-0.045,0.794,3.723,12.329,4.15
0.066,-0.066,0.815,3.723,11.902,3.601
0.055,-0.084,0.816,4.028,11.047,2.991
0.057,-0.1,0.793,4.089,9.949,2.014
0.065,-0.102,0.755,4.089,8.85,1.038
0.079,-0.092,0.722,4.211,8.362,0.366
0.086,-0.08,0.697,4.333,8.362,-0.183
