aX,aY,aZ,gX,gY,gZ
0.305,-0.172,1.162,-46.021,11.597,1.099
0.331,-0.204,1.111,-55.237,21.606,-2.93
0.301,-0.224,1.025,-58.838,28.687,-5.066
0.294,-0.288,1.04,-68.176,30.396,-5.066
0.317,-0.294,0.997,-85.938,35.217,-3.052
0.324,-0.162,0.946,-98.694,39.917,4.456
0.348,-0.001,1.007,-111.206,38.086,6.348
0.378,-0.021,1.018,-122.681,35.522,-3.174
0.388,-0.102,0.976,-141.907,40.466,-15.137
0.369,-0.127,0.892,-143.982,43.091,-16.724
0.378,-0.106,0.853,-147.339,38.94,-15.137
0.339,-0.084,0.754,-149.658,33.386,-12.756
0.357,-0.06,0.861,-149.231,19.165,-11.108
0.424,-0.047,0.894,-133.484,9.705,-9.705
0.402,0.02,0.917,-120.3,10.62,-5.554
0.328,0.012,0.902,-107.239,11.597,-5.737
0.338,-0.049,0.862,-83.313,9.399,-8.484
0.35,-0.072,0.875,-58.838,2.869,-5.615
0.337,-0.032,0.898,-31.006,-2.991,1.221
0.334,0.007,0.894,-6.287,-6.958,6.531
0.341,0.016,0.887,12.878,-10.864,8.301
0.36,0.013,0.897,26.184,-15.686,9.277
0.373,0.024,0.912,38.818,-19.714,11.23
0.362,0.046,0.915,50.476,-21.851,12.939
0.357,0.045,0.898,61.707,-23.376,12.39
0.355,0.029,0.872,76.233,-26.245,10.498
0.348,-0.003,0.89,94.604,-32.349,9.033
0.344,-0.016,0.936,109.741,-38.452,9.033
0.34,-0.036,0.996,126.038,-41.565,8.667
0.331,-0.05,1.018,139.587,-40.833,7.996
0.32,-0.069,1.034,135.01,-37.598,6.836
0.313,-0.091,1.055,128.662,-33.875,4.822
0.308,-0.125,1.055,123.596,-29.236,3.235
0.299,-0.145,1.055,117.249,-24.841,2.686
0.307,-0.151,1.039,108.521,-20.203,2.563
0.309,-0.154,1.013,100.647,-15.747,2.319
0.308,-0.173,0.99,92.224,-12.878,0.977
0.305,-0.194,0.98,79.956,-11.108,-0.305
0.305,-0.208,0.973,69.824,-10.193,-0.366
0.304,-0.211,0.974,59.021,-9.338,-0.122
0.307,-0.218,0.978,51.514,-8.911,-0.122
0.308,-0.218,0.994,44.434,-8.362,-0.061
0.309,-0.224,0.991,39.429,-6.836,-0.366
0.307,-0.237,0.989,34.058,-5.188,-1.099
0.301,-0.249,0.981,28.442,-4.089,-1.404
0.296,-0.256,0.974,22.217,-3.296,-1.282
0.292,-0.252,0.97,17.395,-2.991,-0.977
0.29,-0.246,0.965,15.015,-2.93,-0.793
