aX,aY,aZ,gX,gY,gZ
-0.293,0.067,1.323,-1.221,-7.69,-4.15
-0.306,0.077,1.371,-1.038,-11.414,-5.676
-0.312,0.086,1.431,-0.244,-15.869,-7.08
-0.315,0.087,1.489,0.488,-20.996,-8.484
-0.318,0.086,1.536,0.916,-27.161,-10.071
-0.321,0.091,1.577,1.16,-34.302,-11.536
-0.317,0.095,1.61,1.099,-42.114,-12.878
-0.311,0.098,1.631,0.854,-50.537,-14.221
-0.308,0.102,1.642,0.366,-59.326,-15.808
-0.308,0.105,1.641,-0.305,-68.237,-17.334
-0.313,0.113,1.624,-1.282,-77.087,-18.86
-0.316,0.119,1.6,-2.197,-85.022,-20.508
-0.312,0.122,1.57,-3.784,-92.346,-22.278
-0.309,0.126,1.541,-5.31,-99.06,-23.865
-0.304,0.132,1.511,-7.568,-104.736,-25.757
-0.301,0.135,1.49,-10.01,-109.68,-27.527
-0.301,0.138,1.472,-12.634,-114.014,-28.992
-0.301,0.144,1.471,-15.93,-117.676,-30.334
-0.296,0.151,1.473,-19.775,-121.216,-31.677
-0.288,0.157,1.492,-23.804,-124.329,-32.959
-0.28,0.161,1.514,-28.442,-127.808,-34.18
-0.27,0.165,1.553,-33.142,-131.47,-35.156
-0.256,0.173,1.598,-37.903,-135.986,-36.255
-0.245,0.181,1.642,-42.542,-141.357,-37.109
-0.235,0.19,1.685,-47.058,-147.034,-38.147
-0.221,0.201,1.728,-50.964,-153.564,-39.185
-0.206,0.209,1.768,-54.504,-160.889,-39.978
-0.194,0.214,1.784,-57.739,-168.457,-41.138
-0.183,0.215,1.777,-60.608,-176.636,-42.419
-0.177,0.217,1.749,-62.927,-184.692,-44.006
-0.178,0.22,1.701,-65.491,-192.261,-45.837
-0.18,0.226,1.648,-67.81,-198.914,-47.852
-0.192,0.229,1.589,-70.313,-204.346,-50.293
-0.203,0.23,1.545,-73.181,-208.984,-52.734
-0.212,0.23,1.499,-76.538,-212.646,-55.359
-0.223,0.224,1.443,-80.933,-215.698,-57.983
-0.237,0.222,1.391,-86.487,-218.14,-60.73
-0.249,0.223,1.343,-92.957,-220.093,-63.538
-0.253,0.228,1.291,-100.22,-221.619,-66.162
-0.256,0.24,1.244,-107.666,-223.083,-68.787
-0.261,0.262,1.189,-115.295,-224.609,-70.801
-0.267,0.287,1.121,-122.803,-226.074,-72.632
-0.275,0.312,1.047,-129.456,-227.173,-74.097
-0.281,0.33,0.969,-135.62,-227.905,-75.195
-0.284,0.337,0.881,-140.991,-228.21,-75.989
-0.283,0.33,0.784,-146.24,-228.027,-76.782
-0.274,0.324,0.696,-151.001,-227.539,-77.515
-0.267,0.334,0.609,-154.968,-227.051,-77.942
-0.269,0.342,0.494,-158.203,-226.135,-77.82
-0.27,0.347,0.399,-160.461,-224.548,-77.515
-0.272,0.359,0.329,-161.804,-222.29,-77.209
-0.273,0.361,0.244,-162.72,-219.055,-76.782
-0.267,0.355,0.18,-162.842,-215.698,-76.294
-0.255,0.355,0.126,-162.537,-211.853,-75.806
-0.253,0.359,0.067,-162.17,-207.886,-75.378
-0.252,0.362,0.002,-161.255,-203.735,-75.256
-0.242,0.367,-0.071,-159.851,-198.975,-75.439
-0.237,0.368,-0.152,-158.325,-193.237,-75.378
-0.235,0.37,-0.208,-157.043,-186.951,-75.195
-0.227,0.39,-0.242,-156.372,-180.054,-74.463
-0.219,0.407,-0.28,-155.823,-172.852,-73.364
-0.213,0.419,-0.312,-154.358,-166.138,-71.777
-0.223,0.425,-0.334,-153.076,-159.241,-69.885
-0.226,0.429,-0.349,-151.428,-152.161,-67.81
-0.222,0.438,-0.357,-149.841,-145.081,-65.796
-0.213,0.438,-0.376,-148.071,-138.123,-63.843
-0.213,0.448,-0.362,-146.423,-131.653,-61.646
-0.209,0.463,-0.373,-145.569,-125.671,-59.204
-0.197,0.471,-0.403,-144.348,-120.117,-56.458
-0.192,0.474,-0.438,-142.944,-114.685,-53.528
-0.196,0.472,-0.466,-141.479,-109.07,-50.354
-0.198,0.475,-0.492,-139.465,-103.516,-47.119
-0.2,0.474,-0.52,-137.268,-97.534,-44.189
-0.195,0.459,-0.556,-135.01,-91.736,-41.26
-0.196,0.439,-0.589,-132.874,-85.815,-38.757
