aX,aY,aZ,gX,gY,gZ
0.022,-0.448,1.259,2.625,-1.16,-0.549
0.029,-0.462,1.312,2.747,-2.075,-0.916
0.038,-0.473,1.362,2.747,-2.93,-1.404
0.047,-0.481,1.4,2.808,-4.028,-1.892
0.057,-0.49,1.415,2.991,-5.127,-2.258
0.067,-0.501,1.409,2.869,-6.104,-2.686
0.078,-0.519,1.402,3.052,-6.653,-3.235
0.089,-0.531,1.395,3.479,-7.019,-3.784
0.104,-0.533,1.391,3.967,-6.958,-4.7
0.119,-0.528,1.38,4.822,-6.775,-5.676
0.131,-0.517,1.371,5.615,-6.226,-6.531
0.144,-0.503,1.366,6.348,-5.615,-7.385
0.155,-0.501,1.368,6.897,-5.127,-7.751
0.163,-0.5,1.369,7.141,-4.456,-7.996
0.173,-0.504,1.377,7.141,-4.028,-8.728
0.183,-0.515,1.384,7.019,-4.028,-9.46
0.193,-0.525,1.379,6.897,-4.456,-10.559
0.208,-0.523,1.371,6.958,-5.249,-12.451
0.223,-0.51,1.355,7.568,-6.531,-14.404
0.231,-0.49,1.326,8.423,-7.935,-16.052
0.236,-0.472,1.314,9.583,-9.888,-17.639
0.234,-0.462,1.311,10.62,-11.78,-18.982
0.229,-0.465,1.301,11.414,-13.611,-20.081
0.22,-0.472,1.293,12.024,-15.625,-21.484
0.226,-0.462,1.287,12.268,-18.005,-23.132
0.235,-0.438,1.259,11.963,-20.447,-24.536
0.24,-0.406,1.212,11.536,-22.766,-25.574
0.24,-0.369,1.153,10.742,-24.475,-25.818
0.227,-0.343,1.099,9.827,-25.635,-25.452
0.203,-0.328,1.068,8.972,-25.757,-24.475
0.175,-0.326,1.042,8.301,-25.085,-23.254
0.148,-0.342,1.01,7.69,-23.987,-22.217
0.125,-0.359,0.983,7.385,-22.583,-21.423
0.119,-0.357,0.96,7.324,-20.691,-21.057
0.125,-0.343,0.934,7.385,-18.555,-20.813
0.127,-0.322,0.904,7.629,-16.296,-20.142
0.128,-0.301,0.899,8.362,-13.794,-19.226
0.126,-0.29,0.906,9.399,-11.292,-17.822
0.119,-0.289,0.915,10.559,-9.338,-16.113
0.111,-0.308,0.937,11.475,-8.118,-14.465
0.101,-0.342,0.972,12.634,-7.202,-13.062
0.097,-0.37,1.008,13.062,-7.263,-12.329
0.103,-0.372,1.01,13.306,-8.24,-12.329
0.118,-0.351,0.99,12.939,-9.521,-12.451
0.131,-0.324,0.95,12.634,-11.23,-12.207
0.131,-0.307,0.916,11.902,-12.634,-11.414
0.129,-0.294,0.881,11.23,-13.794,-10.376
0.123,-0.302,0.863,10.254,-14.465,-9.155
0.102,-0.329,0.865,9.399,-14.954,-7.935
0.083,-0.351,0.853,8.667,-15.381,-7.263
0.073,-0.36,0.805,7.812,-15.747,-7.263
0.068,-0.357,0.732,7.08,-15.442,-7.507
0.069,-0.344,0.66,6.226,-14.282,-7.996
0.069,-0.323,0.604,5.676,-12.146,-8.362
0.07,-0.296,0.585,5.188,-9.46,-8.179
0.073,-0.273,0.596,4.883,-6.836,-7.751
0.062,-0.266,0.599,4.211,-4.395,-6.897
0.048,-0.271,0.601,3.784,-2.441,-5.981
0.038,-0.27,0.621,3.296,-1.099,-5.066
0.023,-0.274,0.676,2.747,-0.549,-4.333
0.005,-0.282,0.742,2.075,-0.793,-3.784
-0.01,-0.287,0.784,1.587,-2.075,-3.601
-0.031,-0.299,0.809,0.671,-3.723,-3.418
-0.05,-0.303,0.83,0.549,-5.981,-3.235
-0.064,-0.293,0.817,0.305,-8.423,-3.052
-0.076,-0.285,0.771,0.244,-11.047,-2.747
